,Kodu/Barkodu,F. Kodu,‹r¸n Ad˝,Mevcut,Fiyat˝,Tutar˝,T¸r¸,Kdv,A.Fiyat˝,A.Tutar˝,Maliyeti,2.Fiyat˝,Top. Giri˛,Top. «˝k˝˛,S.Gir. Tarihi,S.«˝k. Tarihi,Grub No,G.Kdv
,8690101110016,8690101110047,SAMSUN KISA                   ,8691959420900,4.2,36506229567780,Adet,G,3.95,34333239712555,3.95,4.2,,3,          ,04.07.2018,15,0
,8690998112131,             ,BALPARMAK 850 GR S‹ZME «›«EK  ,-84,18.9,-1587.6,Adet,B,17.5,-1470,17.5,18.9,,84,          ,14.10.2013,1,8
,1,             ,EKMEK                         ,-93262,1,-93262,Adet,A,0.75,-69946.5,0.75,1,,83.321,          ,16.07.2018,1,1
,2,             ,YUMURTA DUBLE ›R› KOL›S›      ,-9839,12.5,-122987.5,Adet,B,11,-108229,11,12.5,,8.289,          ,16.07.2018,2,8
,8697422560049,             ,SAMANCI KAKAOLU HELVA 400 GR  ,0,2.2,0,Adet,C,1.9,0,1.9,2.2,,,          ,          ,2,8
,8697422560032,             ,SAMANCI SADE HELVA 400 GR86907,-6,2.2,-13.2,Adet,C,1.9,-11.4,1.9,2.2,,,          ,02.04.2010,1,8
,8690504011408,869050491140,P÷T›B÷R 450 GR SADE ‹LKER     ,-830,3.5,-2905,Adet,B,3,-2490,3,3.5,,810,          ,05.07.2018,6,8
,8690504011200,6869050401120,P÷T›B÷R 175 GR KAKAOLU ‹LKER  ,-682,1.5,-1023,Adet,B,1.08,-736.56,1.08,1.5,,609,          ,07.06.2018,6,8
,8690504011101,869050491110,PET›T BEURRE KLAS›K ‹LKER 175 ,-1177,1.5,-1765.5,Adet,B,1,-1177,1,1.5,,1.052,          ,09.07.2018,6,8
,8690504015000,             ,KR›M KRAKER 165 GR ‹LKER      ,-200,1,-200,Adet,B,0.79,-158,0.79,1,,159,          ,12.02.2016,6,8
,8690504011705,             ,P÷T›B÷R 175 GR «›FTE KAV. ‹LK ,-618,1.5,-927,Adet,B,1.19,-735.42,1.19,1.5,,571,          ,16.07.2018,6,8
,8690504034032,3403,HALLEY 30 GR                  ,-1666,0.5,-833,Adet,B,0.4,-666.4,0.4,0.5,,1.572,          ,06.07.2018,6,8
,8690504014607,             ,‹LKER BEBE BALLI MUZLU 190 GR ,-10,1.75,-17.5,Adet,B,1.45,-14.5,1.45,1.75,,4,          ,18.11.2013,6,8
,8690504014300,             ,‹LKER BEBE B‹SK›V› 190 GR     ,-140,1.85,-259,Adet,B,1.55,-217,1.55,1.85,,96,          ,26.05.2016,6,8
,8690504014645,             ,‹LKER BEBE B›SK‹V› ›Y› GECELER,-3,1.45,-4.35,Adet,B,1.29,-3.87,1.29,1.45,,,          ,05.07.2010,6,8
,8690504113300,             ,HANIMELLER BURMA 175GR FINDIK ,0,1.75,0,Adet,B,1.48,0,1.48,1.75,,,          ,          ,6,8
,8690504113003,             ,HANIMELLER KUARAB›YEM FINDIKLI,-1,2.25,-2.25,Adet,C,1.8,-1.8,1.8,2.25,,,          ,23.02.2010,6,8
,8690504113010,             ,HANIMELLER KURAB›YEM «›KOLATAL,0,2.25,0,Adet,C,1.8,0,1.8,2.25,,,          ,          ,6,8
,8690504013006,6869050401300,HANIMELLER ASORT› 220 GR      ,-85,1.5,-127.5,Adet,B,1.28,-108.8,1.28,1.5,,64,          ,01.10.2013,6,8
,8690526063164,             ,TUTKU POﬁET 210 GR            ,11,1.45,15.95,Adet,B,1.25,13.75,1.25,1.45,11,,          ,21.03.2010,8,8
,8690504013105,6869050401310,HANIMELLER FINDIKLI POﬁET 190G,-131,1.5,-196.5,Adet,B,1.2,-157.2,1.2,1.5,,72,          ,28.04.2012,6,8
,8690504014034,14003,B›SKREM KAKAOLU 210 GR POﬁET  ,-46,1.5,-69,Adet,B,1.25,-57.5,1.25,1.5,,24,          ,06.05.2012,6,8
,8690533021133,12113,ET› C›C› B›SK‹V› 230 GR       ,-599,2.25,-1347.75,Adet,B,1.8,-1078.2,1.8,2.25,,525,          ,14.07.2018,8,8
,8690533081137,             ,C›C› BEBE 400 GR              ,-290,3.99,-1157.1,Adet,B,3.5,-1015,3.5,3.99,,223,          ,12.10.2017,8,8
,8690526097022,869052649702,ET› MEK TUZSUZ 130 GR         ,-928,1.75,-1624,Adet,B,1.4,-1299.2,1.4,1.75,,782,          ,05.07.2018,8,8
,8690526097015,             ,ET›MEK KLAS›K 125 GR          ,-42,1.2,-50.4,Adet,B,0.97,-40.74,0.97,1.2,,25,          ,11.06.2012,8,8
,8690526021010,22101,ET› PET›T BEURRE KLAS›K 150 GR,-2,0.95,-1.9,Adet,B,0.73,-1.46,0.73,0.95,,,          ,26.04.2010,8,8
,8690526071190,             ,PET›T BEURRE 185 GR KAKAOLU   ,-20,1.15,-23,Adet,B,0.97,-19.4,0.97,1.15,,,          ,23.12.2010,8,8
,8690526094021,869052629402,ET› KATMER KRAKER 180 GR      ,-2,1,-2,Adet,B,0.8,-1.6,0.8,1,,,          ,03.04.2010,8,8
,8690526031019,             ,PET›T BEURRE KLAS›K 400 GR    ,-97,2.9,-281.3,Adet,B,2.36,-228.92,2.36,2.9,,72,          ,14.10.2017,8,8
,8690526081199,             ,PET›T BEURRE KAKAOLU ET› 370GR,-6,2.45,-14.7,Adet,B,2.15,-12.9,2.15,2.45,,6,          ,07.08.2011,8,8
,8690504015413,15401,‹LKER GOFRET MUZLU 260 GR     ,-9,1.45,-13.05,Adet,B,1.25,-11.25,1.25,1.45,,,          ,06.09.2010,6,8
,8690504084518,             ,‹LKER GOFRET «›LEKL› 260 GR   ,-2,1.45,-2.9,Adet,B,1.25,-2.5,1.25,1.45,,,          ,08.04.2010,6,8
